postcode,lat,lon,sub_category
NR16 1SY,52.48276,1.160092,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
TW16 5JS,51.411509,-0.40023,MEDIUM_PRESSURE
HG1 4QY,54.000074,-1.509294,METER_MOVE
SP1 3UF,51.075892,-1.786071,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
AB42 2RP,57.505487,-1.810193,MEDIUM_PRESSURE
LL37 2JD,52.667653,-4.085494,TRAD_TO_SMART_MEX
AB12 5GH,57.071783,-2.252965,MEDIUM_PRESSURE
BD23 3TQ,53.92647,-2.133261,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
NR30 3HJ,52.600121,1.732082,TRAD_TO_SMART_MEX
TR11 3BP,50.152447,-5.073878,SMART_TO_SMART_MEX
BS6 7QU,51.476418,-2.603606,SMART_TO_SMART_MEX
KW17 2QG,58.918803,-2.819432,TRAD_TO_SMART_MEX
AB31 5NR,57.057932,-2.467891,MEDIUM_PRESSURE
KY16 8SR,56.300065,-2.656437,SMART_TO_SMART_MEX
DD3 6NA,56.467415,-2.975071,TRAD_TO_SMART_MEX
IV36 3XU,57.634886,-3.549435,TRAD_TO_SMART_MEX
EX31 1PZ,51.089795,-4.060094,SMART_TO_SMART_MEX
TN5 6EW,51.080076,0.351154,THREE_PHASE
EH31 2DA,56.03581,-2.829185,NEW_CONNECTION
IV2 7AT,57.483978,-4.156577,SMART_TO_SMART_MEX
YO21 3FL,54.48334,-0.638555,SMART_TO_SMART_MEX
DE6 3DW,53.019026,-1.614718,MEDIUM_PRESSURE
EH32 9GA,55.951632,-2.988407,TRAD_TO_SMART_MEX
SK23 6EZ,53.33601,-1.932067,TRAD_TO_SMART_MEX
BD24 0EQ,54.069396,-2.290953,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
IV2 7QA,57.574808,-3.9781,SMART_TO_SMART_MEX
GU11 4AT,51.25459,-0.76084,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
HU15 2NJ,53.779781,-0.648777,SMART_TO_SMART_MEX
HG1 3AQ,54.007723,-1.541444,SMART_TO_SMART_MEX
AB12 3QB,57.095517,-2.098936,SMART_TO_SMART_MEX
CV7 8SN,52.446717,-1.54115,SMART_TO_SMART_MEX
RH1 4NS,51.240826,-0.107109,SMART_TO_SMART_MEX
HA6 3DD,51.625964,-0.417432,TRAD_TO_SMART_MEX
HD4 7AZ,53.620662,-1.810094,SMART_TO_SMART_MEX
CW7 2NG,53.196741,-2.554739,METER_REMOVAL
HP5 1NX,51.697982,-0.605593,AIHD
HP18 9LG,51.77726,-1.001257,SMART_TO_SMART_MEX
TN22 3PG,51.0348,0.059521,THREE_PHASE
CV22 6PG,52.341034,-1.288017,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
SM2 5TB,51.355506,-0.182138,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
EH7 6AN,55.958243,-3.151038,SMART_TO_SMART_MEX
G32 7UD,55.849839,-4.168369,AIHD
CH46 0SF,53.395583,-3.109604,SMART_TO_SMART_MEX
LN8 5PS,53.288267,-0.306291,TRAD_TO_SMART_MEX
CF11 9NU,51.487574,-3.203661,TRACE_AND_LABEL
EX17 2DW,50.792477,-3.664314,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
TR11 5DE,50.149454,-5.103429,TRAD_TO_SMART_MEX
N6 4HX,51.580392,-0.153798,ISOLATOR_SWITCH
PO33 1NU,50.72269,-1.143098,TRAD_TO_SMART_MEX
NW9 4FY,51.595831,-0.247511,MEDIUM_PRESSURE
CV47 8NG,52.252661,-1.32393,TRAD_TO_SMART_MEX
SN10 3AJ,51.348681,-1.983926,TRAD_TO_SMART_MEX
DD10 9RZ,56.700828,-2.463073,SMART_TO_SMART_MEX
DL16 7HR,54.676997,-1.592885,SMART_TO_SMART_MEX
DH4 4TD,54.860494,-1.479841,THREE_PHASE
AB51 0LN,57.284775,-2.295896,TRAD_TO_SMART_MEX
EH3 5NU,55.962751,-3.208633,METER_REMOVAL
NE61 6RA,55.180711,-1.656906,MEDIUM_PRESSURE
FK5 4WQ,56.038731,-3.82471,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
PR2 2HS,53.772993,-2.720022,SMART_TO_SMART_MEX
KT19 9SQ,51.359232,-0.270197,SMART_TO_SMART_MEX
EX10 0DU,50.698913,-3.302274,TRAD_TO_SMART_MEX
SE4 2AG,51.455827,-0.036044,TRACE_AND_LABEL
IV30 8QW,57.634961,-3.264411,NEW_CONNECTION
E15 4BZ,51.542097,0.006389,TRACE_AND_LABEL
DD6 9AP,56.450853,-2.886941,TRAD_TO_SMART_MEX
BB4 9NT,53.712552,-2.251,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
CB1 7TP,52.185868,0.140252,TRAD_TO_SMART_MEX
NW2 3DE,51.554694,-0.216935,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
ME10 3FF,51.342012,0.760305,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
E8 3PE,51.541796,-0.058144,TRACE_AND_LABEL
TN4 0ED,51.153249,0.256629,SMART_TO_SMART_MEX
LS25 2PS,53.797904,-1.385402,MEDIUM_PRESSURE
L22 7RL,53.478823,-3.039372,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
HP1 3NL,51.765629,-0.494982,SMART_TO_SMART_MEX
PL28 8EA,50.540094,-4.938635,SMART_TO_SMART_MEX
PL26 8GH,50.392749,-4.793849,TRAD_TO_SMART_MEX
G69 6LE,55.852588,-4.119937,SMART_TO_SMART_MEX
